14,تاريخ,من هو القائد المسلم الذي فتح مصر؟,عمرو بن العاص
15,تاريخ,ما هي العملة المستخدمة في الكويت؟,الدينار الكويتي
31,تاريخ,من هو مؤسس الدولة الأموية؟,معاوية بن أبي سفيان
32,تاريخ,"ما هي المدينة التي كانت تسمى ""القسطنطينية""؟",إسطنبول
33,تاريخ,من هو القائد الذي انتصر في معركة حطين؟,صلاح الدين الأيوبي
34,تاريخ,في أي عام تم تأميم قناة السويس؟,1956م
35,تاريخ,"من هو صاحب لقب ""كوكب الشرق""؟",أم كلثوم
36,تاريخ,أين يقع مقر جامعة الدول العربية؟,القاهرة
37,تاريخ,ما هي أول دولة عربية تشرق عليها الشمس؟,سلطنة عمان
38,تاريخ,من الذي بنى تمثال أبو الهول؟,الملك خفرع
39,تاريخ,ما هي عاصمة الدولة الفاطمية قبل القاهرة؟,المهدية (تونس)
40,تاريخ,"من هو مؤلف نشيد ""بلادي بلادي"" المصري؟",يونس القاضي (واللحن لسيد درويش)
61,تاريخ,من هو الخليفة العباسي الذي بنى مدينة سامراء؟,المعتصم بالله
62,تاريخ,"ما هي المعركة التي سميت بـ ""فتح الفتوح""؟",معركة نهاوند
63,تاريخ,"من هو القائد الذي لقب بـ ""داهية العرب""؟",عمرو بن العاص
64,تاريخ,في أي عام سقطت الأندلس نهائياً؟,1492م
65,تاريخ,من هو العالم المصري الذي حصل على نوبل في الكيمياء؟,أحمد زويل
66,تاريخ,متى تم افتتاح الجامع الأزهر للصلاة لأول مرة؟,972م (7 رمضان 361هـ)
67,تاريخ,"من هو السلطان الذي أمر بحفر ""ترعة المحمودية""؟",محمد علي باشا
68,تاريخ,ما هي أقدم عاصمة مأهولة بالسكان في التاريخ؟,دمشق
69,تاريخ,"من هو الرحالة الذي لقب بـ ""شيخ الرحالين""؟",ابن بطوطة
70,تاريخ,كم استمر حكم المماليك في مصر والشام؟,حوالي 267 سنة
111,تاريخ,متى تم افتتاح قناة السويس القديمة؟,1869م
112,تاريخ,من هو القائد المسلم الذي فتح الأندلس؟,طارق بن زياد
113,تاريخ,ما هي الدولة التي استضافت كأس العالم 2022؟,قطر
114,تاريخ,من هو مخترع المصباح الكهربائي؟,توماس إديسون
115,تاريخ,ما هي عاصمة لبنان؟,بيروت
131,تاريخ,من هو مؤسس مدينة القاهرة؟,جوهر الصقلي
132,تاريخ,في أي عام سقطت الدولة العباسية على يد التتار؟,656 هـ (1258م)
133,تاريخ,من هو الرئيس الأمريكي الذي حرر العبيد؟,أبراهام لينكولن
134,تاريخ,ما هي أطول حرب في تاريخ البشرية الحديث؟,حرب المائة عام (بين إنجلترا وفرنسا)
135,تاريخ,متى وقع زلزال مصر الشهير في العصر الحديث؟,1992م
136,تاريخ,ما هي العملة الرسمية للاتحاد الأوروبي؟,اليورو
137,تاريخ,"من هو مؤلف كتاب ""البؤساء""؟",فيكتور هوجو
138,تاريخ,أين يقع مقر محكمة العدل الدولية؟,لاهاي (هولندا)
139,تاريخ,ما هو الاسم القديم لمدينة طوكيو؟,إيدو
140,تاريخ,من هو القائد الذي هزم نابليون في معركة ووترلو؟,دوق ولينغتون
161,تاريخ,من هو الملك الفرعوني الذي وقع أول معاهدة سلام في التاريخ؟,رمسيس الثاني (مع الحيثيين)
162,تاريخ,متى تأسس النادي الأهلي المصري؟,1907م
163,تاريخ,"ما هي الدولة التي كانت تسمى ""ساحل الذهب""؟",غانا
164,تاريخ,من هو القائد الذي بنى مدينة بغداد؟,أبو جعفر المنصور
165,تاريخ,ما هي المعركة التي أوقفت الزحف الإسلامي في أوروبا (فرنسا)؟,بلاط الشهداء (بواتييه)
166,تاريخ,من هو العالم العربي الذي أسس علم الاجتماع؟,ابن خلدون
167,تاريخ,في أي عام وقعت نكبة فلسطين؟,1948م
168,تاريخ,من هي أول امرأة حصلت على جائزة نوبل؟,ماري كوري
169,تاريخ,"ما هي المدينة التي تلقب بـ ""الفيحاء""؟",دمشق / البصرة
170,تاريخ,كم دامت خلافة أبي بكر الصديق؟,سنتان و3 أشهر
211,تاريخ,في أي عام هجري كان فتح مكة؟,8 هـ
212,تاريخ,من هو القائد الذي حارب المرتدين؟,أبو بكر الصديق
213,تاريخ,"ما هي الدولة التي قامت ببناء ""سور الصين العظيم""؟",الصين
214,تاريخ,من هو مخترع الهاتف؟,ألكسندر جراهام بيل
215,تاريخ,"ما هي المدينة التي تلقب بـ ""أم الدنيا""؟",القاهرة
231,تاريخ,متى قامت الحرب العالمية الأولى؟,1914م
232,تاريخ,"من هو القائد العسكري الملقب بـ ""ثعلب الصحراء""؟",إرفين رومل
233,تاريخ,في أي عام تم توحيد المملكة العربية السعودية؟,1932م
234,تاريخ,ما هي الحضارة التي بنت البتراء في الأردن؟,الأنباط
235,تاريخ,من هو الخليفة الذي أمر بتنقيط المصحف؟,عبد الملك بن مروان (بواسطة أبي الأسود الدؤلي ونصر بن عاصم)
236,تاريخ,ما هي أقدم جامعة في العالم ما زالت تعمل؟,جامعة القرويين (المغرب)
237,تاريخ,من هو مكتشف القارة الأمريكية؟,كريستوفر كولومبس
238,تاريخ,ما هي المعركة التي انتصر فيها المصريون على التتار؟,عين جالوت
239,تاريخ,"من هو صاحب كتاب ""ألف ليلة وليلة""؟",غير معروف (تراث شعبي)
240,تاريخ,كم دامت خلافة عمر بن الخطاب؟,10 سنوات
261,تاريخ,"من هو السلطان العثماني الملقب بـ ""القانوني""؟",سليمان القانوني
262,تاريخ,ما هي المعركة التي هزم فيها نابليون بونابرت نهائياً؟,ووترلو
263,تاريخ,من هو مؤسس علم الجبر؟,الخوارزمي
264,تاريخ,متى وقعت نكسة 1967؟,05-Jun-67
265,تاريخ,من هو العالم الذي اخترع الديناميت؟,ألفريد نوبل
266,تاريخ,ما هي أطول خلافة في تاريخ الإسلام (فترة حكم خليفة واحد)؟,المستنصر بالله الفاطمي (60 سنة)
267,تاريخ,من هو القائد الذي أحرق سفنه بعد العبور؟,طارق بن زياد (رواية شهيرة)
268,تاريخ,ما هو الاسم الحقيقي للمتنبي؟,أحمد بن الحسين
269,تاريخ,في أي عام تأسست الأمم المتحدة؟,1945م
270,تاريخ,من هي المرأة التي حكمت مصر لمدة 80 يوماً؟,شجرة الدر
311,تاريخ,ما هي عاصمة فرنسا؟,باريس
312,تاريخ,ما هي العملة المستخدمة في الولايات المتحدة؟,الدولار الأمريكي
313,تاريخ,من هو القائد الذي فتح مصر؟,عمرو بن العاص
314,تاريخ,ما هي الدولة التي تشتهر بالأهرامات؟,مصر
315,تاريخ,ما هي عاصمة الأردن؟,عمّان
331,تاريخ,ما هي عاصمة اليابان؟,طوكيو
332,تاريخ,من هو مخترع المذياع (الراديو)؟,ماركوني
333,تاريخ,في أي قارة تقع دولة البرازيل؟,أمريكا الجنوبية
334,تاريخ,"ما هي الدولة التي تسمى ""بلاد الرافدين""؟",العراق
335,تاريخ,متى قامت ثورة يوليو في مصر؟,1952م
336,تاريخ,ما هي عاصمة تركيا؟,أنقرة
337,تاريخ,من هو القائد المسلم الذي انتصر في معركة القادسية؟,سعد بن أبي وقاص
338,تاريخ,ما هي أكبر جزيرة في العالم؟,جرينلاند
339,تاريخ,"ما هي الدولة التي عاصمتها ""مسقط""؟",سلطنة عمان
340,تاريخ,من هو باني تمثال الحرية؟,فريديريك بارتولدي (أهدته فرنسا لأمريكا)
361,تاريخ,من هو القائد الذي أحرق روما؟,نيرون
362,تاريخ,متى تأسست جامعة الدول العربية؟,1945م
363,تاريخ,"ما هي المعركة التي سميت بـ ""معركة الشهداء""؟",بلاط الشهداء (تور - بواتييه)
364,تاريخ,من هو أول من وصل إلى القطب الشمالي؟,روبرت بيري
365,تاريخ,"ما هي الدولة التي كانت تسمى ""سيلان""؟",سريلانكا
366,تاريخ,"من هو الخليفة العباسي الذي أسس ""بيت الحكمة""؟",المأمون (هارون الرشيد أسس النواة والمأمون طورها)
367,تاريخ,في أي عام سقط جدار برلين؟,1989م
368,تاريخ,ما هي أطول حرب في تاريخ أوروبا؟,حرب الاسترداد (في إسبانيا) - أو حرب المئة عام مجازاً
369,تاريخ,من هو الملك الذي وحد القطرين (الشمال والجنوب) في مصر القديمة؟,الملك مينا (نعرمر)
370,تاريخ,"ما هي المدينة التي تلقب بـ ""مدينة المائة باب""؟",الأقصر (طيبة قديماً)
411,تاريخ,"ما هي الدولة التي كانت تسمى ""أرض الكنانة""؟",مصر
412,تاريخ,من هو القائد الذي فتح القسطنطينية؟,محمد الفاتح
413,تاريخ,ما هي العملة الرسمية للمملكة المتحدة (بريطانيا)؟,الجنيه الإسترليني
414,تاريخ,"في أي دولة تقع مدينة ""مكة المكرمة""؟",السعودية
415,تاريخ,من هو مخترع الطائرة؟,الأخوان رايت
431,تاريخ,ما هي عاصمة ألمانيا؟,برلين
432,تاريخ,من هو القائد الفرنسي الذي هزم في معركة ووترلو؟,نابليون بونابرت
433,تاريخ,متى تم توحيد ألمانيا (الشرقية والغربية)؟,1990م
434,تاريخ,"ما هي الدولة التي تسمى ""بلاد الشمس المشرقة""؟",اليابان
435,تاريخ,من هو مؤسس الدولة السعودية الأولى؟,الإمام محمد بن سعود
436,تاريخ,ما هي عاصمة المغرب؟,الرباط
437,تاريخ,من هو مكتشف الدورة الدموية الصغرى؟,ابن النفيس
438,تاريخ,ما هي المعركة التي انتصر فيها المسلمون بقيادة خالد بن الوليد على الروم؟,معركة اليرموك
439,تاريخ,"من هو صاحب لقب ""أمير الشعراء""؟",أحمد شوقي
440,تاريخ,أين يقع برج بيزا المائل؟,إيطاليا
461,تاريخ,من هو القائد الذي بنى مدينة فاس المغربية؟,إدريس الأول (إدريس بن عبد الله)
462,تاريخ,متى وقعت معركة حطين؟,583 هـ (1187م)
463,تاريخ,"ما هي الدولة التي كانت تعرف بـ ""الحبشة""؟",إثيوبيا
464,تاريخ,من هو العالم الذي اخترع الهاتف؟,ألكسندر جراهام بيل
465,تاريخ,ما هي المدينة التي كانت عاصمة الدولة العثمانية قبل فتح القسطنطينية؟,أدرنة (إدرنة)
466,تاريخ,من هو المؤلف الموسيقي الأصم؟,بيتهوفن
467,تاريخ,في أي عام سقطت جدار برلين؟,1989م
468,تاريخ,ما هي أقدم حضارة في أمريكا الجنوبية؟,حضارة الإنكا (أو كارال كأقدم)
469,تاريخ,من هو القائد الذي فتح بلاد السند؟,محمد بن القاسم الثقفي
470,تاريخ,"ما هي المدينة التي تلقب بـ ""مدينة الضباب""؟",لندن
511,تاريخ,ما هي الدولة التي يوجد بها برج إيفل؟,فرنسا
512,تاريخ,من هو مكتشف أمريكا؟,كريستوفر كولومبس
513,تاريخ,ما هي العملة الرسمية للمملكة العربية السعودية؟,الريال السعودي
514,تاريخ,أين يقع المسجد الأقصى؟,القدس (فلسطين)
515,تاريخ,من هو القائد الذي هزم الصليبيين واسترد القدس؟,صلاح الدين الأيوبي
531,تاريخ,ما هي عاصمة كندا؟,أوتاوا
532,تاريخ,من هو مخترع المصباح الكهربائي؟,توماس إديسون
533,تاريخ,في أي عام قامت الثورة الفرنسية؟,1789م
534,تاريخ,"ما هي الدولة التي كانت تسمى ""فارس"" قديماً؟",إيران
535,تاريخ,من هو القائد الذي فتح بلاد الأندلس؟,طارق بن زياد (وموسى بن نصير)
536,تاريخ,ما هي عاصمة أستراليا؟,كانبرا
537,تاريخ,من هو العالم الذي اكتشف الجاذبية الأرضية؟,إسحاق نيوتن
538,تاريخ,ما هي المعركة التي انتصر فيها المسلمون على التتار؟,عين جالوت
539,تاريخ,من هو صاحب لوحة الموناليزا؟,ليوناردو دافنشي
540,تاريخ,أين يقع مقر الأمم المتحدة؟,نيويورك
561,تاريخ,من هو الخليفة الذي بنى مدينة بغداد؟,أبو جعفر المنصور
562,تاريخ,متى وقعت معركة القادسية؟,15 هـ (636م)
563,تاريخ,"ما هي الدولة التي كانت تسمى ""روديسيا""؟",زيمبابوي
564,تاريخ,من هو العالم الذي اخترع الهاتف؟,ألكسندر جراهام بيل
565,تاريخ,ما هي المدينة التي كانت عاصمة الدولة الفاطمية قبل القاهرة؟,المهدية (تونس)
566,تاريخ,من هو الفيلسوف الذي تجرع السم تنفيذاً لحكم الإعدام؟,سقراط
567,تاريخ,في أي عام تأسس حلف الناتو؟,1949م
568,تاريخ,ما هي أقدم مدينة مأهولة بالسكان في العالم؟,دمشق / أريحا
569,تاريخ,من هو القائد الذي عبر مضيق جبل طارق؟,طارق بن زياد
570,تاريخ,"ما هي المدينة التي تلقب بـ ""الشهباء""؟",حلب
611,تاريخ,من هو القائد الذي انتصر في معركة عين جالوت؟,سيف الدين قطز
612,تاريخ,"ما هي الدولة التي كانت تسمى ""بلاد الشام""؟","سوريا، لبنان، الأردن، فلسطين"
613,تاريخ,من هو أول رئيس للولايات المتحدة الأمريكية؟,جورج واشنطن
614,تاريخ,ما هي العملة الرسمية في الإمارات؟,الدرهم الإماراتي
615,تاريخ,أين يقع مقر جامعة الدول العربية؟,القاهرة
631,تاريخ,ما هي عاصمة إسبانيا؟,مدريد
632,تاريخ,من هو مخترع الديناميت؟,ألفرد نوبل
633,تاريخ,في أي عام انتهت الحرب العالمية الثانية؟,1945م
634,تاريخ,"ما هي الدولة التي تسمى ""أرض المليون شهيد""؟",الجزائر
635,تاريخ,من هو القائد الذي فتح بلاد السند؟,محمد بن القاسم الثقفي
636,تاريخ,ما هي عاصمة روسيا؟,موسكو
637,تاريخ,من هو العالم الذي اكتشف البنسلين؟,ألكسندر فليمنج
638,تاريخ,ما هي المعركة التي انتصر فيها المسلمون على الروم في الشام؟,اليرموك
639,تاريخ,"من هو صاحب لقب ""شاعر النيل""؟",حافظ إبراهيم
640,تاريخ,أين يقع سور الصين العظيم؟,الصين
661,تاريخ,من هو الخليفة الذي أمر ببناء قبة الصخرة؟,عبد الملك بن مروان
662,تاريخ,متى وقعت معركة بلاط الشهداء؟,114 هـ (732م)
663,تاريخ,"ما هي الدولة التي كانت تسمى ""سيلان""؟",سريلانكا
664,تاريخ,من هو العالم الذي اخترع المصباح الكهربائي؟,توماس إديسون
665,تاريخ,ما هي المدينة التي كانت عاصمة الدولة الأموية في الأندلس؟,قرطبة
666,تاريخ,"من هو الفيلسوف الذي لقب بـ ""المعلم الأول""؟",أرسطو
667,تاريخ,في أي عام تأسست جامعة الدول العربية؟,1945م
668,تاريخ,ما هي أقدم جامعة في العالم (ما زالت تعمل)؟,جامعة القرويين (المغرب)
669,تاريخ,من هو القائد الذي فتح بلاد المغرب العربي؟,عقبة بن نافع
670,تاريخ,"ما هي المدينة التي تلقب بـ ""مدينة النور""؟",باريس
711,تاريخ,"ما هي الدولة التي كانت تسمى ""بلاد الرافدين""؟",العراق
712,تاريخ,من هو القائد الذي فتح مصر؟,عمرو بن العاص
713,تاريخ,ما هي العملة الرسمية لدولة الكويت؟,الدينار الكويتي
714,تاريخ,أين يقع برج خليفة؟,دبي (الإمارات)
715,تاريخ,من هو مكتشف الجاذبية الأرضية؟,إسحاق نيوتن
731,تاريخ,ما هي عاصمة إيطاليا؟,روما
732,تاريخ,من هو مخترع الهاتف؟,ألكسندر جراهام بيل
733,تاريخ,في أي عام قامت الثورة الجزائرية؟,1954م
734,تاريخ,"ما هي الدولة التي تسمى ""بلاد الأرز""؟",لبنان
735,تاريخ,من هو القائد الذي انتصر في معركة حطين؟,صلاح الدين الأيوبي
736,تاريخ,ما هي عاصمة الصين؟,بكين
737,تاريخ,من هو العالم الذي اكتشف البنسلين؟,ألكسندر فليمنج
738,تاريخ,ما هي المعركة التي انتصر فيها المسلمون على الفرس؟,القادسية
739,تاريخ,"من هو صاحب لقب ""عميد الأدب العربي""؟",طه حسين
740,تاريخ,أين يقع تمثال الحرية؟,نيويورك (أمريكا)
761,تاريخ,من هو الخليفة الذي أمر ببناء قبة الصخرة؟,عبد الملك بن مروان
762,تاريخ,متى وقعت معركة عين جالوت؟,658 هـ (1260م)
763,تاريخ,"ما هي الدولة التي كانت تسمى ""سيلان""؟",سريلانكا
764,تاريخ,من هو العالم الذي اخترع المصباح الكهربائي؟,توماس إديسون
765,تاريخ,ما هي المدينة التي كانت عاصمة الدولة العباسية؟,بغداد
766,تاريخ,"من هو الفيلسوف الذي لقب بـ ""المعلم الثاني""؟",الفارابي
767,تاريخ,في أي عام تأسست الأمم المتحدة؟,1945م
768,تاريخ,ما هي أقدم جامعة في العالم (ما زالت تعمل)؟,جامعة القرويين
769,تاريخ,من هو القائد الذي فتح بلاد الأندلس؟,طارق بن زياد
770,تاريخ,"ما هي المدينة التي تلقب بـ ""مدينة الضباب""؟",لندن
811,تاريخ,"ما هي الدولة التي بنت ""تمثال الحرية"" وأهدته لأمريكا؟",فرنسا
812,تاريخ,من هو القائد الذي فتح القسطنطينية؟,محمد الفاتح
813,تاريخ,ما هي العملة الرسمية في الأردن؟,الدينار الأردني
814,تاريخ,أين يقع برج إيفل؟,باريس (فرنسا)
815,تاريخ,من هو مؤسس علم الجبر؟,الخوارزمي
831,تاريخ,ما هي عاصمة إسبانيا؟,مدريد
832,تاريخ,من هو مخترع المصباح الكهربائي؟,توماس إديسون
833,تاريخ,في أي عام قامت الثورة الفرنسية؟,1789م
834,تاريخ,"ما هي الدولة التي تسمى ""أرض الكنانة""؟",مصر
835,تاريخ,من هو القائد الذي فتح بلاد الأندلس؟,طارق بن زياد
836,تاريخ,ما هي عاصمة الصين؟,بكين
837,تاريخ,من هو العالم الذي اكتشف الجاذبية؟,إسحاق نيوتن
838,تاريخ,ما هي المعركة التي انتصر فيها المسلمون على التتار؟,عين جالوت
839,تاريخ,"من هو صاحب لقب ""أمير الشعراء""؟",أحمد شوقي
840,تاريخ,أين يقع سور الصين العظيم؟,الصين
861,تاريخ,من هو الخليفة الذي أمر ببناء قبة الصخرة؟,عبد الملك بن مروان
862,تاريخ,متى وقعت معركة حطين؟,583 هـ (1187م)
863,تاريخ,"ما هي الدولة التي كانت تسمى ""سيلان""؟",سريلانكا
864,تاريخ,من هو العالم الذي اخترع الهاتف؟,ألكسندر جراهام بيل
865,تاريخ,ما هي المدينة التي كانت عاصمة الدولة العباسية؟,بغداد
866,تاريخ,"من هو الفيلسوف الذي لقب بـ ""المعلم الثاني""؟",الفارابي
867,تاريخ,في أي عام تأسست الأمم المتحدة؟,1945م
868,تاريخ,ما هي أقدم جامعة في العالم (ما زالت تعمل)؟,جامعة القرويين
869,تاريخ,من هو القائد الذي فتح بلاد المغرب العربي؟,عقبة بن نافع
870,تاريخ,"ما هي المدينة التي تلقب بـ ""مدينة الضباب""؟",لندن
911,تاريخ,"ما هي الدولة التي تشتهر بوجود ""برج بيزا المائل""؟",إيطاليا
912,تاريخ,من هو القائد الذي فتح مصر؟,عمرو بن العاص
913,تاريخ,ما هي العملة الرسمية لدولة قطر؟,الريال القطري
